,Tb,Tw,mb,mw,cb,cw,h,a,t,Tbt,Twt
2,800,25,0.2,2.5,3.85,4.1813,160,0.0109,3,79.1,78
5,800,25,0.2,2.5,3.85,4.1813,160,0.0109,5,78.2,78.1
6,1100,70,0.2,2.5,3.85,4.1813,160,0.0109,2,150.1,138.2
3,1100,70,0.2,2.5,3.85,4.1813,160,0.0109,3,142.1,139.1
9,1100,70,0.2,2.5,3.85,4.1813,160,0.0109,4,141.2,139.8
10,1100,70,0.2,2.5,3.85,4.1813,160,0.0109,5,140.9,140.1
7,1100,70,0.2,5,3.85,4.1813,160,0.0109,2,116.6,105.1
8,1100,70,0.2,10,3.85,4.1813,160,0.0109,2,99.1,88.1
1,1200,25,0.2,2.5,3.85,4.1813,160,0.0109,3,107.7,105.1
4,1200,25,0.2,2.5,3.85,4.1813,160,0.0109,5,105.7,105.5
